"name","region","country","date","Value"
Death Cases,Latin America & The Caribbean,Uruguay,2021-03-01 00:00:00,3.0000
Death Cases,Europe & Central Asia,United Kingdom,2021-03-01 00:00:00,104.0000
Death Cases,Middle East & North Africa,United Arab Emirates,2021-03-01 00:00:00,17.0000
Death Cases,Europe & Central Asia,Ukraine,2021-03-01 00:00:00,76.0000
Death Cases,Sub-Saharan Africa,Uganda,2021-03-01 00:00:00,0.0000
Death Cases,North America,US,2021-03-01 00:00:00,1536.0000
Death Cases,Europe & Central Asia,Turkey,2021-03-01 00:00:00,69.0000
Death Cases,Middle East & North Africa,Tunisia,2021-03-01 00:00:00,21.0000
Death Cases,Latin America & The Caribbean,Trinidad and Tobago,2021-03-01 00:00:00,0.0000
Death Cases,Sub-Saharan Africa,Togo,2021-03-01 00:00:00,1.0000
Death Cases,East Asia & Pacific,Timor-Leste,2021-03-01 00:00:00,0.0000
Death Cases,East Asia & Pacific,Thailand,2021-03-01 00:00:00,0.0000
Death Cases,Sub-Saharan Africa,Tanzania,2021-03-01 00:00:00,0.0000
Death Cases,Europe & Central Asia,Tajikistan,2021-03-01 00:00:00,0.0000
Death Cases,East Asia & Pacific,Taiwan,2021-03-01 00:00:00,0.0000
Death Cases,Middle East & North Africa,Syria,2021-03-01 00:00:00,5.0000
Death Cases,Europe & Central Asia,Switzerland,2021-03-01 00:00:00,22.0000
Death Cases,Europe & Central Asia,Sweden,2021-03-01 00:00:00,0.0000
Death Cases,Latin America & The Caribbean,Suriname,2021-03-01 00:00:00,1.0000
Death Cases,Sub-Saharan Africa,Sudan,2021-03-01 00:00:00,10.0000
Death Cases,South Asia,Sri Lanka,2021-03-01 00:00:00,12.0000
Death Cases,Europe & Central Asia,Spain,2021-03-01 00:00:00,467.0000
Death Cases,Sub-Saharan Africa,South Sudan,2021-03-01 00:00:00,1.0000
Death Cases,Sub-Saharan Africa,South Africa,2021-03-01 00:00:00,84.0000
Death Cases,Sub-Saharan Africa,Somalia,2021-03-01 00:00:00,4.0000
Death Cases,East Asia & Pacific,Solomon Islands,2021-03-01 00:00:00,0.0000
Death Cases,Europe & Central Asia,Slovenia,2021-03-01 00:00:00,18.0000
Death Cases,Europe & Central Asia,Slovakia,2021-03-01 00:00:00,81.0000
Death Cases,East Asia & Pacific,Singapore,2021-03-01 00:00:00,0.0000
Death Cases,Sub-Saharan Africa,Sierra Leone,2021-03-01 00:00:00,0.0000
Death Cases,Sub-Saharan Africa,Seychelles,2021-03-01 00:00:00,0.0000
Death Cases,Europe & Central Asia,Serbia,2021-03-01 00:00:00,16.0000
Death Cases,Sub-Saharan Africa,Senegal,2021-03-01 00:00:00,8.0000
Death Cases,Middle East & North Africa,Saudi Arabia,2021-03-01 00:00:00,6.0000
Death Cases,Sub-Saharan Africa,Sao Tome and Principe,2021-03-01 00:00:00,1.0000
Death Cases,Europe & Central Asia,San Marino,2021-03-01 00:00:00,0.0000
Death Cases,East Asia & Pacific,Samoa,2021-03-01 00:00:00,0.0000
Death Cases,Latin America & The Caribbean,Saint Vincent and the Grenadines,2021-03-01 00:00:00,0.0000
Death Cases,Latin America & The Caribbean,Saint Lucia,2021-03-01 00:00:00,1.0000
Death Cases,Latin America & The Caribbean,Saint Kitts and Nevis,2021-03-01 00:00:00,0.0000
Death Cases,Sub-Saharan Africa,Rwanda,2021-03-01 00:00:00,3.0000
Death Cases,Europe & Central Asia,Russia,2021-03-01 00:00:00,325.0000
Death Cases,Europe & Central Asia,Romania,2021-03-01 00:00:00,53.0000
Death Cases,Middle East & North Africa,Qatar,2021-03-01 00:00:00,1.0000
Death Cases,Europe & Central Asia,Portugal,2021-03-01 00:00:00,34.0000
Death Cases,Europe & Central Asia,Poland,2021-03-01 00:00:00,24.0000
Death Cases,East Asia & Pacific,Philippines,2021-03-01 00:00:00,4.0000
Death Cases,Latin America & The Caribbean,Peru,2021-03-01 00:00:00,195.0000
